Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_185,VGND,li1,90.8500,92.4800,0.000034
FILLER_30_181,VGND,li1,89.7000,92.4800,0.000034
FILLER_30_169,VGND,li1,86.0200,92.4800,0.000034
FILLER_30_162,VGND,li1,81.4200,92.4800,0.000034
FILLER_30_150,VGND,li1,77.2800,92.4800,0.000034
FILLER_30_141,VGND,li1,71.7600,92.4800,0.000034
FILLER_30_139,VGND,li1,69.6900,92.4800,0.000034
FILLER_30_131,VGND,li1,67.6200,92.4800,0.000033
FILLER_30_119,VGND,li1,63.0200,92.4800,0.000030
FILLER_30_113,VGND,li1,57.9600,92.4800,0.000026
FILLER_30_100,VGND,li1,54.2800,92.4800,0.000024
FILLER_30_91,VGND,li1,47.6100,92.4800,0.000019
FILLER_30_85,VGND,li1,46.0000,92.4800,0.000018
FILLER_30_82,VGND,li1,43.7000,92.4800,0.000017
FILLER_30_69,VGND,li1,37.9500,92.4800,0.000014
FILLER_30_57,VGND,li1,34.5000,92.4800,0.000011
FILLER_30_53,VGND,li1,30.5900,92.4800,0.000010
FILLER_30_41,VGND,li1,27.1400,92.4800,0.000007
FILLER_30_29,VGND,li1,21.6200,92.4800,0.000006
FILLER_30_27,VGND,li1,18.1700,92.4800,0.000006
FILLER_30_15,VGND,li1,15.1800,92.4800,0.000006
FILLER_30_3,VGND,li1,9.6600,92.4800,0.000006
FILLER_29_184,VGND,li1,90.6200,92.4800,0.000034
FILLER_29_172,VGND,li1,87.4000,92.4800,0.000034
FILLER_29_167,VGND,li1,82.5700,92.4800,0.000034
FILLER_29_163,VGND,li1,80.7300,92.4800,0.000034
FILLER_29_120,VGND,li1,61.1800,92.4800,0.000029
FILLER_29_113,VGND,li1,58.1900,92.4800,0.000026
FILLER_29_111,VGND,li1,56.8100,92.4800,0.000026
FILLER_29_107,VGND,li1,55.6600,92.4800,0.000024
FILLER_29_87,VGND,li1,46.2300,92.4800,0.000019
FILLER_29_57,VGND,li1,33.5800,92.4800,0.000011
FILLER_29_54,VGND,li1,30.8200,92.4800,0.000010
FILLER_29_42,VGND,li1,27.6000,92.4800,0.000007
FILLER_29_30,VGND,li1,22.0800,92.4800,0.000006
FILLER_29_14,VGND,li1,14.7200,92.4800,0.000006
FILLER_29_3,VGND,li1,8.7400,92.4800,0.000006
