Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_185,VPWR,li1,90.8500,95.2000,1.799999
FILLER_30_181,VPWR,li1,89.7000,95.2000,1.799999
FILLER_30_169,VPWR,li1,86.0200,95.2000,1.799999
FILLER_30_162,VPWR,li1,81.4200,95.2000,1.799999
FILLER_30_150,VPWR,li1,77.2800,95.2000,1.799999
FILLER_30_141,VPWR,li1,71.7600,95.2000,1.799999
FILLER_30_139,VPWR,li1,69.6900,95.2000,1.799999
FILLER_30_131,VPWR,li1,67.6200,95.2000,1.799999
FILLER_30_119,VPWR,li1,63.0200,95.2000,1.799999
FILLER_30_113,VPWR,li1,57.9600,95.2000,1.799999
FILLER_30_100,VPWR,li1,54.2800,95.2000,1.799999
FILLER_30_91,VPWR,li1,47.6100,95.2000,1.799999
FILLER_30_85,VPWR,li1,46.0000,95.2000,1.799999
FILLER_30_82,VPWR,li1,43.7000,95.2000,1.799999
FILLER_30_69,VPWR,li1,37.9500,95.2000,1.800000
FILLER_30_57,VPWR,li1,34.5000,95.2000,1.800000
FILLER_30_53,VPWR,li1,30.5900,95.2000,1.800000
FILLER_30_41,VPWR,li1,27.1400,95.2000,1.800000
FILLER_30_29,VPWR,li1,21.6200,95.2000,1.800000
FILLER_30_27,VPWR,li1,18.1700,95.2000,1.800000
FILLER_30_15,VPWR,li1,15.1800,95.2000,1.800000
FILLER_30_3,VPWR,li1,9.6600,95.2000,1.800000
FILLER_29_184,VPWR,li1,90.6200,89.7600,1.799884
FILLER_29_172,VPWR,li1,87.4000,89.7600,1.799884
FILLER_29_167,VPWR,li1,82.5700,89.7600,1.799885
FILLER_29_163,VPWR,li1,80.7300,89.7600,1.799887
FILLER_29_120,VPWR,li1,61.1800,89.7600,1.799911
FILLER_29_113,VPWR,li1,58.1900,89.7600,1.799917
FILLER_29_111,VPWR,li1,56.8100,89.7600,1.799921
FILLER_29_107,VPWR,li1,55.6600,89.7600,1.799924
FILLER_29_87,VPWR,li1,46.2300,89.7600,1.799938
FILLER_29_57,VPWR,li1,33.5800,89.7600,1.799961
FILLER_29_54,VPWR,li1,30.8200,89.7600,1.799966
FILLER_29_42,VPWR,li1,27.6000,89.7600,1.799972
FILLER_29_30,VPWR,li1,22.0800,89.7600,1.799982
FILLER_29_14,VPWR,li1,14.7200,89.7600,1.799982
FILLER_29_3,VPWR,li1,8.7400,89.7600,1.799982
FILLER_28_185,VPWR,li1,90.8500,89.7600,1.799884
FILLER_28_181,VPWR,li1,89.7000,89.7600,1.799884
FILLER_28_134,VPWR,li1,67.8500,89.7600,1.799899
FILLER_28_123,VPWR,li1,62.5600,89.7600,1.799911
FILLER_28_103,VPWR,li1,53.1300,89.7600,1.799929
FILLER_28_94,VPWR,li1,49.4500,89.7600,1.799934
FILLER_28_85,VPWR,li1,45.3100,89.7600,1.799942
FILLER_28_83,VPWR,li1,43.9300,89.7600,1.799942
FILLER_28_57,VPWR,li1,33.5800,89.7600,1.799961
FILLER_28_45,VPWR,li1,28.9800,89.7600,1.799972
FILLER_28_40,VPWR,li1,24.1500,89.7600,1.799978
FILLER_28_34,VPWR,li1,22.5400,89.7600,1.799982
FILLER_28_19,VPWR,li1,15.1800,89.7600,1.799982
FILLER_28_7,VPWR,li1,11.5000,89.7600,1.799982
FILLER_27_185,VPWR,li1,90.8500,84.3200,1.799754
FILLER_27_134,VPWR,li1,68.0800,84.3200,1.799793
FILLER_27_122,VPWR,li1,64.4000,84.3200,1.799806
FILLER_27_113,VPWR,li1,57.9600,84.3200,1.799833
FILLER_27_111,VPWR,li1,56.8100,84.3200,1.799833
FILLER_27_105,VPWR,li1,55.2000,84.3200,1.799842
FILLER_27_75,VPWR,li1,40.7100,84.3200,1.799896
FILLER_27_57,VPWR,li1,33.1200,84.3200,1.799920
FILLER_27_52,VPWR,li1,30.3600,84.3200,1.799928
FILLER_27_43,VPWR,li1,25.9900,84.3200,1.799944
FILLER_27_37,VPWR,li1,22.7700,84.3200,1.799957
FILLER_27_29,VPWR,li1,20.7000,84.3200,1.799964
FILLER_27_18,VPWR,li1,14.4900,84.3200,1.799964
FILLER_27_3,VPWR,li1,7.5900,84.3200,1.799964
FILLER_26_185,VPWR,li1,90.8500,84.3200,1.799754
FILLER_26_179,VPWR,li1,89.2400,84.3200,1.799754
FILLER_26_141,VPWR,li1,71.0700,84.3200,1.799786
FILLER_26_139,VPWR,li1,69.6900,84.3200,1.799793
FILLER_26_135,VPWR,li1,68.5400,84.3200,1.799793
FILLER_26_121,VPWR,li1,62.5600,84.3200,1.799812
FILLER_26_110,VPWR,li1,56.8100,84.3200,1.799833
FILLER_26_102,VPWR,li1,54.2800,84.3200,1.799842
FILLER_26_85,VPWR,li1,45.0800,84.3200,1.799875
FILLER_26_83,VPWR,li1,43.9300,84.3200,1.799883
FILLER_26_79,VPWR,li1,42.7800,84.3200,1.799883
FILLER_26_13,VPWR,li1,11.9600,84.3200,1.799964
FILLER_26_3,VPWR,li1,7.1300,84.3200,1.799964
FILLER_25_182,VPWR,li1,90.1600,78.8800,1.799920
FILLER_25_166,VPWR,li1,82.3400,78.8800,1.799922
FILLER_25_126,VPWR,li1,64.4000,78.8800,1.799937
FILLER_25_83,VPWR,li1,44.6200,78.8800,1.799961
FILLER_25_71,VPWR,li1,40.9400,78.8800,1.799965
FILLER_25_54,VPWR,li1,30.8200,78.8800,1.799978
FILLER_25_38,VPWR,li1,23.6900,78.8800,1.799985
FILLER_25_22,VPWR,li1,17.4800,78.8800,1.799988
FILLER_25_13,VPWR,li1,11.9600,78.8800,1.799988
FILLER_25_3,VPWR,li1,7.1300,78.8800,1.799988
FILLER_24_185,VPWR,li1,90.8500,78.8800,1.799920
FILLER_24_181,VPWR,li1,89.7000,78.8800,1.799920
FILLER_24_135,VPWR,li1,68.0800,78.8800,1.799934
FILLER_24_127,VPWR,li1,65.7800,78.8800,1.799937
FILLER_24_110,VPWR,li1,56.8100,78.8800,1.799946
FILLER_24_102,VPWR,li1,54.2800,78.8800,1.799949
FILLER_24_95,VPWR,li1,49.6800,78.8800,1.799955
FILLER_24_85,VPWR,li1,45.3100,78.8800,1.799961
FILLER_24_82,VPWR,li1,43.7000,78.8800,1.799961
FILLER_24_65,VPWR,li1,36.3400,78.8800,1.799970
FILLER_24_36,VPWR,li1,23.4600,78.8800,1.799985
FILLER_24_29,VPWR,li1,19.3200,78.8800,1.799988
FILLER_24_22,VPWR,li1,16.1000,78.8800,1.799988
FILLER_24_13,VPWR,li1,12.4200,78.8800,1.799988
FILLER_24_7,VPWR,li1,9.2000,78.8800,1.799988
FILLER_23_185,VPWR,li1,90.8500,73.4400,1.799998
FILLER_23_177,VPWR,li1,88.7800,73.4400,1.799998
FILLER_23_167,VPWR,li1,82.5700,73.4400,1.799998
FILLER_23_161,VPWR,li1,80.9600,73.4400,1.799998
FILLER_23_140,VPWR,li1,70.1500,73.4400,1.799998
FILLER_23_136,VPWR,li1,69.0000,73.4400,1.799998
FILLER_23_125,VPWR,li1,63.4800,73.4400,1.799998
FILLER_23_113,VPWR,li1,60.2600,73.4400,1.799998
FILLER_23_104,VPWR,li1,55.2000,73.4400,1.799999
FILLER_23_95,VPWR,li1,49.6800,73.4400,1.799999
FILLER_23_86,VPWR,li1,45.7700,73.4400,1.799999
FILLER_23_67,VPWR,li1,37.7200,73.4400,1.799999
FILLER_23_57,VPWR,li1,32.2000,73.4400,1.799999
FILLER_23_55,VPWR,li1,31.0500,73.4400,1.799999
FILLER_23_49,VPWR,li1,29.4400,73.4400,1.799999
FILLER_23_29,VPWR,li1,19.7800,73.4400,1.800000
FILLER_23_20,VPWR,li1,16.1000,73.4400,1.800000
FILLER_23_15,VPWR,li1,12.8800,73.4400,1.800000
FILLER_23_7,VPWR,li1,10.5800,73.4400,1.800000
FILLER_22_184,VPWR,li1,90.6200,73.4400,1.799998
FILLER_22_180,VPWR,li1,88.5500,73.4400,1.799998
FILLER_22_174,VPWR,li1,86.9400,73.4400,1.799998
FILLER_22_145,VPWR,li1,72.4500,73.4400,1.799998
FILLER_22_141,VPWR,li1,71.3000,73.4400,1.799998
FILLER_22_137,VPWR,li1,69.2300,73.4400,1.799998
FILLER_22_129,VPWR,li1,66.7000,73.4400,1.799998
FILLER_22_116,VPWR,li1,59.5700,73.4400,1.799998
FILLER_22_108,VPWR,li1,57.0400,73.4400,1.799998
FILLER_22_91,VPWR,li1,48.7600,73.4400,1.799999
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.799999
FILLER_22_59,VPWR,li1,33.5800,73.4400,1.799999
FILLER_22_44,VPWR,li1,27.1400,73.4400,1.799999
FILLER_22_15,VPWR,li1,12.6500,73.4400,1.800000
FILLER_22_3,VPWR,li1,7.3600,73.4400,1.800000
FILLER_21_167,VPWR,li1,82.5700,68.0000,1.799767
FILLER_21_161,VPWR,li1,80.9600,68.0000,1.799773
FILLER_21_157,VPWR,li1,77.9700,68.0000,1.799782
FILLER_21_153,VPWR,li1,76.1300,68.0000,1.799788
FILLER_21_145,VPWR,li1,74.0600,68.0000,1.799794
FILLER_21_138,VPWR,li1,69.4600,68.0000,1.799809
FILLER_21_130,VPWR,li1,67.1600,68.0000,1.799817
FILLER_21_116,VPWR,li1,59.3400,68.0000,1.799846
FILLER_21_94,VPWR,li1,48.9900,68.0000,1.799876
FILLER_21_87,VPWR,li1,45.7700,68.0000,1.799892
FILLER_21_78,VPWR,li1,42.0900,68.0000,1.799898
FILLER_21_70,VPWR,li1,39.5600,68.0000,1.799907
FILLER_21_44,VPWR,li1,27.1400,68.0000,1.799952
FILLER_21_39,VPWR,li1,23.9200,68.0000,1.799958
FILLER_21_33,VPWR,li1,20.9300,68.0000,1.799967
FILLER_21_26,VPWR,li1,17.9400,68.0000,1.799967
FILLER_21_13,VPWR,li1,11.7300,68.0000,1.799967
FILLER_21_3,VPWR,li1,7.1300,68.0000,1.799967
FILLER_20_165,VPWR,li1,81.6500,68.0000,1.799773
