Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_182_1077,VPWR,li1,501.8600,508.6400,1.800000
FILLER_182_1065,VPWR,li1,498.1800,508.6400,1.800000
FILLER_182_1061,VPWR,li1,494.2700,508.6400,1.800000
FILLER_182_1049,VPWR,li1,490.8200,508.6400,1.800000
FILLER_182_1037,VPWR,li1,485.3000,508.6400,1.800000
FILLER_182_1033,VPWR,li1,481.3900,508.6400,1.800000
FILLER_182_1021,VPWR,li1,477.9400,508.6400,1.800000
FILLER_182_1009,VPWR,li1,472.4200,508.6400,1.799999
FILLER_182_1005,VPWR,li1,468.5100,508.6400,1.799999
FILLER_182_993,VPWR,li1,465.0600,508.6400,1.799999
FILLER_182_981,VPWR,li1,459.5400,508.6400,1.799999
FILLER_182_977,VPWR,li1,455.6300,508.6400,1.799999
FILLER_182_965,VPWR,li1,452.1800,508.6400,1.799999
FILLER_182_953,VPWR,li1,446.6600,508.6400,1.799999
FILLER_182_949,VPWR,li1,442.7500,508.6400,1.799999
FILLER_182_937,VPWR,li1,439.3000,508.6400,1.799999
FILLER_182_925,VPWR,li1,433.7800,508.6400,1.799998
FILLER_182_921,VPWR,li1,429.8700,508.6400,1.799998
FILLER_182_909,VPWR,li1,426.4200,508.6400,1.799998
FILLER_182_897,VPWR,li1,420.9000,508.6400,1.799998
FILLER_182_893,VPWR,li1,416.9900,508.6400,1.799998
FILLER_182_881,VPWR,li1,413.5400,508.6400,1.799998
FILLER_182_869,VPWR,li1,408.0200,508.6400,1.799998
FILLER_182_865,VPWR,li1,404.1100,508.6400,1.799998
FILLER_182_853,VPWR,li1,400.6600,508.6400,1.799997
FILLER_182_841,VPWR,li1,395.1400,508.6400,1.799997
FILLER_182_837,VPWR,li1,391.2300,508.6400,1.799997
FILLER_182_825,VPWR,li1,387.7800,508.6400,1.799997
FILLER_182_813,VPWR,li1,382.2600,508.6400,1.799997
FILLER_182_809,VPWR,li1,378.3500,508.6400,1.799997
FILLER_182_797,VPWR,li1,374.9000,508.6400,1.799997
FILLER_182_785,VPWR,li1,369.3800,508.6400,1.799997
FILLER_182_781,VPWR,li1,365.4700,508.6400,1.799997
FILLER_182_769,VPWR,li1,362.0200,508.6400,1.799996
FILLER_182_757,VPWR,li1,356.5000,508.6400,1.799996
FILLER_182_753,VPWR,li1,352.5900,508.6400,1.799996
FILLER_182_741,VPWR,li1,349.1400,508.6400,1.799996
FILLER_182_729,VPWR,li1,343.6200,508.6400,1.799996
FILLER_182_725,VPWR,li1,339.7100,508.6400,1.799996
FILLER_182_713,VPWR,li1,336.2600,508.6400,1.799996
FILLER_182_701,VPWR,li1,330.7400,508.6400,1.799996
FILLER_182_697,VPWR,li1,326.8300,508.6400,1.799994
FILLER_182_685,VPWR,li1,323.3800,508.6400,1.799993
FILLER_182_673,VPWR,li1,317.8600,508.6400,1.799990
FILLER_182_669,VPWR,li1,313.9500,508.6400,1.799988
FILLER_182_657,VPWR,li1,310.5000,508.6400,1.799987
FILLER_182_645,VPWR,li1,304.9800,508.6400,1.799984
FILLER_182_642,VPWR,li1,301.3000,508.6400,1.799982
FILLER_182_630,VPWR,li1,298.0800,508.6400,1.799981
FILLER_182_625,VPWR,li1,293.2500,508.6400,1.799978
FILLER_182_617,VPWR,li1,291.1800,508.6400,1.799978
FILLER_182_611,VPWR,li1,286.8100,508.6400,1.799976
FILLER_182_607,VPWR,li1,285.6600,508.6400,1.799976
FILLER_182_595,VPWR,li1,281.9800,508.6400,1.799975
FILLER_182_589,VPWR,li1,276.9200,508.6400,1.799973
FILLER_182_587,VPWR,li1,275.7700,508.6400,1.799973
FILLER_182_579,VPWR,li1,273.7000,508.6400,1.799973
FILLER_182_567,VPWR,li1,269.1000,508.6400,1.799972
FILLER_182_561,VPWR,li1,264.0400,508.6400,1.799971
FILLER_182_558,VPWR,li1,262.6600,508.6400,1.799971
FILLER_182_546,VPWR,li1,259.4400,508.6400,1.799971
FILLER_182_541,VPWR,li1,254.6100,508.6400,1.799971
FILLER_182_533,VPWR,li1,252.5400,508.6400,1.799971
FILLER_182_527,VPWR,li1,248.1700,508.6400,1.799971
FILLER_182_523,VPWR,li1,247.0200,508.6400,1.799971
FILLER_182_511,VPWR,li1,243.3400,508.6400,1.799972
FILLER_182_505,VPWR,li1,238.2800,508.6400,1.799973
FILLER_182_503,VPWR,li1,237.1300,508.6400,1.799973
FILLER_182_495,VPWR,li1,235.0600,508.6400,1.799973
FILLER_182_483,VPWR,li1,230.4600,508.6400,1.799974
FILLER_182_477,VPWR,li1,225.4000,508.6400,1.799976
FILLER_182_474,VPWR,li1,224.0200,508.6400,1.799976
FILLER_182_462,VPWR,li1,220.8000,508.6400,1.799977
FILLER_182_457,VPWR,li1,215.9700,508.6400,1.799979
FILLER_182_449,VPWR,li1,213.9000,508.6400,1.799979
FILLER_182_445,VPWR,li1,210.9100,508.6400,1.799981
FILLER_182_433,VPWR,li1,207.4600,508.6400,1.799982
FILLER_182_421,VPWR,li1,201.9400,508.6400,1.799985
FILLER_182_417,VPWR,li1,198.0300,508.6400,1.799986
FILLER_182_405,VPWR,li1,194.5800,508.6400,1.799988
FILLER_182_393,VPWR,li1,189.0600,508.6400,1.799990
FILLER_182_389,VPWR,li1,185.1500,508.6400,1.799992
FILLER_182_377,VPWR,li1,181.7000,508.6400,1.799993
FILLER_182_365,VPWR,li1,176.1800,508.6400,1.799996
FILLER_182_361,VPWR,li1,172.2700,508.6400,1.799996
FILLER_182_349,VPWR,li1,168.8200,508.6400,1.799996
FILLER_182_337,VPWR,li1,163.3000,508.6400,1.799996
FILLER_182_333,VPWR,li1,159.3900,508.6400,1.799996
FILLER_182_321,VPWR,li1,155.9400,508.6400,1.799996
FILLER_182_309,VPWR,li1,150.4200,508.6400,1.799997
FILLER_182_305,VPWR,li1,146.5100,508.6400,1.799997
FILLER_182_293,VPWR,li1,143.0600,508.6400,1.799997
FILLER_182_281,VPWR,li1,137.5400,508.6400,1.799997
FILLER_182_277,VPWR,li1,133.6300,508.6400,1.799997
FILLER_182_265,VPWR,li1,130.1800,508.6400,1.799997
FILLER_182_253,VPWR,li1,124.6600,508.6400,1.799997
FILLER_182_249,VPWR,li1,120.7500,508.6400,1.799997
FILLER_182_237,VPWR,li1,117.3000,508.6400,1.799997
FILLER_182_225,VPWR,li1,111.7800,508.6400,1.799998
FILLER_182_221,VPWR,li1,107.8700,508.6400,1.799998
FILLER_182_209,VPWR,li1,104.4200,508.6400,1.799998
FILLER_182_197,VPWR,li1,98.9000,508.6400,1.799998
FILLER_182_193,VPWR,li1,94.9900,508.6400,1.799998
FILLER_182_181,VPWR,li1,91.5400,508.6400,1.799998
FILLER_182_169,VPWR,li1,86.0200,508.6400,1.799998
FILLER_182_165,VPWR,li1,82.1100,508.6400,1.799998
FILLER_182_153,VPWR,li1,78.6600,508.6400,1.799998
FILLER_182_141,VPWR,li1,73.1400,508.6400,1.799998
FILLER_182_137,VPWR,li1,69.2300,508.6400,1.799999
FILLER_182_125,VPWR,li1,65.7800,508.6400,1.799999
FILLER_182_113,VPWR,li1,60.2600,508.6400,1.799999
FILLER_182_109,VPWR,li1,56.3500,508.6400,1.799999
FILLER_182_97,VPWR,li1,52.9000,508.6400,1.799999
FILLER_182_85,VPWR,li1,47.3800,508.6400,1.799999
FILLER_182_81,VPWR,li1,43.4700,508.6400,1.799999
FILLER_182_69,VPWR,li1,40.0200,508.6400,1.799999
FILLER_182_57,VPWR,li1,34.5000,508.6400,1.799999
FILLER_182_53,VPWR,li1,30.5900,508.6400,1.800000
FILLER_182_41,VPWR,li1,27.1400,508.6400,1.800000
FILLER_182_29,VPWR,li1,21.6200,508.6400,1.800000
FILLER_182_27,VPWR,li1,18.1700,508.6400,1.800000
FILLER_182_15,VPWR,li1,15.1800,508.6400,1.800000
FILLER_182_3,VPWR,li1,9.6600,508.6400,1.800000
FILLER_181_1077,VPWR,li1,501.8600,503.2000,1.800000
FILLER_181_1065,VPWR,li1,498.1800,503.2000,1.800000
FILLER_181_1063,VPWR,li1,494.7300,503.2000,1.800000
FILLER_181_1057,VPWR,li1,493.1200,503.2000,1.800000
FILLER_181_1045,VPWR,li1,488.9800,503.2000,1.800000
FILLER_181_1033,VPWR,li1,483.4600,503.2000,1.800000
