Reading timing models for corner max_ss_100C_1v60…
Reading cell library for the 'max_ss_100C_1v60' corner at '/home/thanh/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading top-level netlist at '/home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/78-yosys-synthesis/counter.nl.v'…
Linking design 'counter' from netlist…
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/78-yosys-synthesis/counter.nl.v line 405, module ram256x16 not found. Creating black box for mem_i.
Reading design constraints file at '/home/thanh/NCO/counter.sdc'…
Reading top-level design parasitics for the 'max_ss_100C_1v60' corner at '/home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef'…
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5857, instance ANTENNA_mem_i_addr0\[0\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5862, net ANTENNA_mem_i_addr0\[0\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5863, mem_i not connected to net addr0[0].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5870, mem_i not connected to net addr0[0].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5871, net ANTENNA_mem_i_addr0\[0\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5877, instance ANTENNA_mem_i_addr0\[1\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5881, mem_i not connected to net addr0[1].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5882, net ANTENNA_mem_i_addr0\[1\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5888, net ANTENNA_mem_i_addr0\[1\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5889, mem_i not connected to net addr0[1].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5895, instance ANTENNA_mem_i_addr0\[2\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5899, mem_i not connected to net addr0[2].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5900, net ANTENNA_mem_i_addr0\[2\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5905, net ANTENNA_mem_i_addr0\[2\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5906, mem_i not connected to net addr0[2].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5912, instance ANTENNA_mem_i_addr0\[3\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5916, mem_i not connected to net addr0[3].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5917, net ANTENNA_mem_i_addr0\[3\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5923, net ANTENNA_mem_i_addr0\[3\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5924, mem_i not connected to net addr0[3].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5930, instance ANTENNA_mem_i_addr0\[4\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5934, mem_i not connected to net addr0[4].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5935, net ANTENNA_mem_i_addr0\[4\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5941, net ANTENNA_mem_i_addr0\[4\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5942, mem_i not connected to net addr0[4].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5948, instance ANTENNA_mem_i_addr0\[5\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5952, mem_i not connected to net addr0[5].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5953, net ANTENNA_mem_i_addr0\[5\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5955, net ANTENNA_mem_i_addr0\[5\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5955, net clknet_1_0__leaf_clk not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5961, net ANTENNA_mem_i_addr0\[5\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5962, mem_i not connected to net addr0[5].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5968, instance ANTENNA_mem_i_addr0\[6\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5972, mem_i not connected to net addr0[6].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5973, net ANTENNA_mem_i_addr0\[6\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5975, net ANTENNA_mem_i_addr0\[6\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5975, net clknet_1_0__leaf_clk not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5980, net ANTENNA_mem_i_addr0\[6\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5981, mem_i not connected to net addr0[6].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5987, instance ANTENNA_mem_i_addr0\[7\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5991, mem_i not connected to net addr0[7].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5992, net ANTENNA_mem_i_addr0\[7\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5994, net ANTENNA_mem_i_addr0\[7\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5994, net clknet_1_0__leaf_clk not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5997, net ANTENNA_mem_i_addr0\[7\] not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 5998, mem_i not connected to net addr0[7].
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6003, instance clkbuf_0_clk not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6004, instance ANTENNA_clkbuf_0_clk_A not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6008, net clkbuf_0_clk not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6009, net ANTENNA_clkbuf_0_clk_A not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6019, net clkbuf_0_clk not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6019, net clknet_0_clk not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6020, net clkbuf_0_clk not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6020, net net18 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6021, net clkbuf_0_clk not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6021, net net18 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6023, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6025, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6026, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6027, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6030, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6031, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6032, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6035, net net19 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6036, net net19 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6037, net net19 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6038, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6039, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6043, net net18 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6044, net net19 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6045, net net19 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6046, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6047, net net20 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6058, net ANTENNA_clkbuf_0_clk_A not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6059, net clkbuf_0_clk not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6065, instance ANTENNA_mem_i_csb0 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6070, net ANTENNA_mem_i_csb0 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6074, net ANTENNA_mem_i_csb0 not found.
Warning: /home/thanh/NCO/runs/RUN_2025-03-04_06-06-24/54-openroad-rcx/max/counter.max.spef line 6081, instance ANTENNA_mem_i_din0\[0\] not found.
