net,length_um
clknet_1_0__leaf_clk,694.65µm
clk,527.97µm
clknet_1_1__leaf_clk,443.19µm
net93,436.08µm
clknet_0_clk,360.38µm
net73,169.705µm
net71,162.63µm
net86,152.29µm
net70,132.76µm
net90,131.37µm
_021_,108.98µm
net83,99.93µm
net91,82.08µm
sine_out_temp\[2\],58.975µm
sine_out_temp\[3\],57.01µm
sine_out_temp\[1\],54.745µm
sine_out_temp\[0\],54.495µm
net92,51.38µm
net53,49.58µm
net85,47.1µm
net5,44.61µm
net9,44.405µm
net3,44.155µm
net8,43.89µm
sine_out_temp\[4\],43.83µm
sine_out_temp\[5\],43.615µm
net7,43.55µm
net88,43.22µm
net4,42.885µm
net6,42.23µm
sine_out_temp\[6\],41.025µm
sine_out_temp\[7\],40.275µm
net14,39.27µm
net24,38.99µm
net23,38.73µm
net18,38.56µm
net13,38.1µm
net17,38.1µm
net22,37.79µm
net20,37.77µm
net2,37.73µm
net21,37.73µm
net12,37.66µm
net16,37.64µm
net15,37.62µm
net10,37.5µm
net11,37.48µm
sine_out_temp\[8\],37.465µm
net19,37.46µm
net25,37.38µm
net1,37.27µm
tcout\[4\],36.32µm
net75,33.31µm
net26,32.78µm
sine_out_temp\[10\],30.33µm
sine_out_temp\[9\],29.735µm
sine_out_temp\[11\],29.63µm
sine_out_temp\[12\],29.395µm
net32,28.72µm
net43,28.38µm
sine_out_temp\[13\],27.55µm
net33,27.52µm
net37,26.56µm
_033_,25.28µm
_029_,24.88µm
net36,24.3µm
net38,24.3µm
net42,24.26µm
net78,23.91µm
sine_out_temp\[15\],23.845µm
net34,23.38µm
_030_,23.07µm
net27,23.02µm
net29,22.92µm
net30,22.46µm
net40,22.46µm
_028_,22.27µm
net31,22µm
net35,22µm
net39,22µm
net41,22µm
net79,22µm
tcout\[2\],21.58µm
_031_,21.13µm
net28,21.08µm
net49,20.92µm
net76,20.8µm
tcout\[3\],20.76µm
_010_,20.55µm
_026_,19.81µm
_008_,19.63µm
_027_,19.55µm
_032_,19.4µm
sine_out_temp\[14\],19.315µm
_011_,17.31µm
_013_,16.39µm
net89,16.22µm
_002_,15.12µm
net50,15.035µm
_009_,14.51µm
net51,14.45µm
_024_,14.11µm
_025_,14.11µm
net80,13.88µm
net94,13.68µm
_006_,13.66µm
_012_,13.41µm
tcout\[5\],13µm
_014_,12.65µm
tcout\[6\],12.62µm
_007_,12.42µm
sine_out[10],11.7µm
sine_out[11],11.7µm
sine_out[6],11.7µm
_004_,11.24µm
net81,11.02µm
_000_,10.98µm
sine_out[13],10.78µm
sine_out[14],10.78µm
sine_out[8],10.78µm
sine_out[9],10.78µm
_015_,10.62µm
_036_,10.56µm
_003_,10.44µm
tcout\[0\],9.88µm
tcout\[1\],9.7µm
net52,9.66µm
din0[0],9.64µm
din0[10],9.64µm
din0[11],9.64µm
din0[12],9.64µm
din0[13],9.64µm
din0[1],9.64µm
din0[2],9.64µm
din0[5],9.64µm
din0[6],9.64µm
din0[7],9.64µm
din0[8],9.64µm
sine_out[12],9.42µm
sine_out[15],9.42µm
sine_out[7],9.42µm
_016_,9.05µm
_038_,8.94µm
addr0[0],8.72µm
addr0[1],8.72µm
din0[14],8.72µm
din0[15],8.72µm
din0[3],8.72µm
din0[4],8.72µm
din0[9],8.72µm
tcout\[7\],8.52µm
net74,8.52µm
sine_out[0],8.04µm
sine_out[1],8.04µm
sine_out[2],8.04µm
sine_out[3],8.04µm
sine_out[4],8.04µm
sine_out[5],8.04µm
_005_,7.72µm
addr0[2],7.69µm
addr0[6],7.69µm
addr0[4],7.35µm
csb0,7.01µm
_037_,6.74µm
_020_,6.48µm
addr0[3],6.33µm
_001_,6.3µm
net47,6.18µm
addr0[5],5.99µm
_023_,5.95µm
net72,5.92µm
rst,5.77µm
_017_,5.44µm
addr0[7],5.31µm
_018_,5.1µm
net82,5µm
_034_,4.8µm
net46,3.88µm
net48,2.98µm
net57,2.98µm
net67,2.98µm
net68,2.98µm
net77,2.98µm
net84,2.62µm
_019_,2.55µm
_035_,2.5µm
net44,2.16µm
net54,2.06µm
net55,2.06µm
net56,2.06µm
net62,2.06µm
net63,2.06µm
net64,2.06µm
net65,2.06µm
net66,2.06µm
net69,2.06µm
net45,1.81µm
net87,1.38µm
_022_,1.36µm
net58,1.14µm
net59,1.14µm
net60,1.14µm
net61,1.14µm
